score,unit,stratum,storm,metric,polygon_subset,value_new,value_ref,ci_lo_new,ci_lo_ref,ci_hi_new,ci_hi_ref,n_units_new,n_units_ref,n_polygons_new,n_polygons_ref,score_role_new,score_role_ref,post_hoc_design_new,post_hoc_design_ref,confirmatory_new,confirmatory_ref,_merge
L1,area,ALL,ALL,observed-label_auc,agricultural,0.4013355268066065,0.4013355268066089,0.3612745278767751,0.3612745278767761,0.4587507564551046,0.4587507564551125,119,119,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,observed-label_auc,all,0.4077218965061787,0.407721896506181,0.3658719542025126,0.3658719542025109,0.4668466572914074,0.4668466572914153,196,196,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,observed-label_auc,no_landuse_attr,0.865156906330556,0.8651569063304954,0.6665388462920621,0.6665388462919741,0.94140270056415,0.9414027005641458,20,20,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,observed-label_auc,urban,0.9138416010556408,0.9138416010556772,0.8547484528044388,0.8547484528044559,0.9548316525551396,0.954831652555158,57,57,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,observed-label_auc_diff,agricultural,-0.0403819471595471,-0.0403819471595446,-0.0811894457295917,-0.0811894457295912,0.0175843055257182,0.0175843055257286,119,119,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,observed-label_auc_diff,all,-0.0397793032555256,-0.0397793032555232,-0.0800185442132491,-0.0800185442132477,0.0173547761943447,0.017354776194349,196,196,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,observed-label_auc_diff,no_landuse_attr,0.0054371395678898,0.0054371395678906,-0.0152818279015734,-0.0152818279015641,0.0554327781146478,0.0554327781146684,20,20,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,ALL,observed-label_auc_diff,urban,-0.0013082514705491,-0.0013082514706456,-0.0508078462998228,-0.0508078462998621,0.0467601082525318,0.0467601082524042,57,57,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.05,all,0.2327265900807898,0.2327265900809058,0.0025109608171983,0.0025109608171985,0.5890212961891909,0.5890212961892423,4,4,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.05,no_landuse_attr,0.3901812843102157,0.390181284310311,0.1053920328273812,0.1053920328276772,0.6749705357930502,0.6749705357929447,4,4,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.05,urban,0.6415428652072791,0.6415428652074251,0.6415428652072791,0.6415428652074251,0.6415428652072791,0.6415428652074251,1,1,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.1,all,0.2859580902683801,0.2859580902686151,0.0038961892437071,0.0038961892437073,0.5697654628614993,0.5697654628614053,4,4,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.1,no_landuse_attr,0.4937515483151891,0.4937515483153913,0.1892724560798819,0.1892724560798505,0.7980280174970888,0.798028017496961,4,4,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.1,urban,0.7171237572838169,0.7171237572840118,0.7171237572838169,0.7171237572840118,0.7171237572838169,0.7171237572840118,1,1,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.2,agricultural,0.0354245834777039,0.0354245834777029,0.0354245834777039,0.0354245834777029,0.0354245834777039,0.0354245834777029,1,1,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.2,all,0.4942175732220196,0.494217573221931,0.1098902342842753,0.1098902342841611,0.8785449121597639,0.8785449121597011,4,4,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.2,no_landuse_attr,0.6954022116289438,0.6954022116288227,0.3450862835941015,0.3450862835938977,0.939272456079882,0.9392724560798504,4,4,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.2,urban,0.8657314392435159,0.8657314392436495,0.8657314392435159,0.8657314392436495,0.8657314392435159,0.8657314392436495,1,1,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.3,agricultural,0.0756832840784549,0.075683284078456,0.0756832840784549,0.075683284078456,0.0756832840784549,0.075683284078456,1,1,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.3,all,0.5387529572850023,0.5387529572849008,0.1989610024102406,0.1989610024101006,0.8785449121597639,0.8785449121597011,4,4,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.3,no_landuse_attr,0.7404770236331926,0.7404770236330561,0.459062028521965,0.4590620285217193,0.9445516741379668,0.9445516741378972,4,4,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.3,urban,0.9339891792137656,0.9339891792137712,0.9339891792137656,0.9339891792137712,0.9339891792137656,0.9339891792137712,1,1,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.5,agricultural,0.2358339848569782,0.2358339848569894,0.2358339848569782,0.2358339848569894,0.2358339848569782,0.2358339848569894,1,1,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.5,all,0.7308331192750859,0.7308331192750368,0.396162560485667,0.3961625604856741,0.9555494179899796,0.9555494179899292,4,4,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,MACRO,capture_0.5,no_landuse_attr,0.9203456338302842,0.9203456338302324,0.8407873793496109,0.8407873793495066,0.9999038883109576,0.9999038883109576,4,4,20,20,pre_registered,pre_registered,False,False,True,True,both
