floor,normalization,aggregation,weights,components,repeat,spearman_vs_baseline,top20_overlap
0.01,minmax,geometric,dirichlet,HEV,30,0.8413003906483837,7
0.01,minmax,geometric,dirichlet,HEV,31,0.8007535389551258,7
0.01,minmax,geometric,dirichlet,HEV,32,0.8545246045563771,7
0.01,minmax,geometric,dirichlet,HEV,33,0.8308941059754373,7
0.01,minmax,geometric,dirichlet,HEV,34,0.8062594083514142,6
0.01,minmax,geometric,dirichlet,HEV,35,0.8275263662408447,6
0.01,minmax,geometric,dirichlet,HEV,36,0.8405574554360961,7
0.01,minmax,geometric,dirichlet,HEV,37,0.7116226215109763,3
0.01,minmax,geometric,dirichlet,HEV,38,0.8401309502433894,9
0.01,minmax,geometric,dirichlet,HEV,39,0.7917813746391605,5
0.01,minmax,additive,equal,HEVD,0,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,1,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,2,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,3,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,4,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,5,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,6,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,7,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,8,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,9,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,10,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,11,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,12,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,13,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,14,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,15,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,16,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,17,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,18,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,19,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,20,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,21,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,22,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,23,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,24,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,25,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,26,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,27,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,28,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,29,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,30,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,31,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,32,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,33,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,34,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,35,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,36,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,37,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,38,0.8781279084488712,9
0.01,minmax,additive,equal,HEVD,39,0.8781279084488712,9
0.01,minmax,additive,equal,HEV,0,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,1,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,2,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,3,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,4,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,5,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,6,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,7,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,8,0.8351443852767073,7
0.01,minmax,additive,equal,HEV,9,0.8351443852767073,7
