test_event,score,auc_recomputed,ci_lo_recomputed,ci_hi_recomputed,n_clusters,n_pos_cells,se_draw,n_nonfinite_draws,auc,ci_lo,ci_hi,se,included,se_ci,se_ratio,abs_diff_auc,abs_diff_ci,run_id
2014,hand_acc_neg,0.8662356613378296,0.8403,0.8786,13,132,0.07846092363802512,0,0.8662356613378296,0.8403,0.8786,0.08132214155911725,True,0.08132214155911725,0.9648162497170323,0.0,0.0,m2_20260926T165115Z_1ffdde7
2014,L1,0.7842200436098241,0.7173,0.8854,13,132,0.2839815156741901,0,0.7842200436098241,0.7173,0.8854,0.2840572138997387,True,0.2840572138997387,0.9997335106385459,0.0,0.0,m2_20260926T165115Z_1ffdde7
2014,z_sensitivity,0.8378485122254055,0.8062,0.8932,13,132,0.18203865972514166,0,0.8378485122254055,0.8062,0.8932,0.17815313131312221,True,0.17815313131312221,1.0218100483745651,0.0,0.0,m2_20260926T165115Z_1ffdde7
2014,rf_F1_wf,0.8522077070862744,0.778,0.8831,13,132,0.20511904960376176,0,0.8522077070862744,0.778,0.8831,0.1959399355674551,True,0.1959399355674551,1.0468465706581118,0.0,0.0,m2_20260926T165115Z_1ffdde7
2014,logit_F1_wf,0.8354526290701026,0.7617,0.8645,13,132,0.1840861265624342,0,0.8354526290701026,0.7617,0.8645,0.17631887039285019,True,0.17631887039285019,1.0440523249285687,0.0,0.0,m2_20260926T165115Z_1ffdde7
2016,slope_neg,0.8710982008116287,0.7752,0.9201,6,170,0.3070092957916022,0,0.8710982008116287,0.7752,0.9201,0.3076068167502658,True,0.3076068167502658,0.9980575171741115,0.0,0.0,m2_20260926T165115Z_1ffdde7
2016,relelev_neg,0.5531201570087028,0.5007,0.6377,6,170,0.14334346494871297,0,0.5531201570087028,0.5007,0.6377,0.14352186010267007,True,0.14352186010267007,0.9987570175454145,0.0,0.0,m2_20260926T165115Z_1ffdde7
2016,twi,0.8332331047532665,0.7486,0.8707,6,170,0.20895507730378227,0,0.8332331047532665,0.7486,0.8707,0.20816777940286194,True,0.20816777940286194,1.0037820353523428,0.0,0.0,m2_20260926T165115Z_1ffdde7
2016,impervious,0.9371092571017507,0.9217,0.9485,6,170,0.11156305972729096,0,0.9371092571017507,0.9217,0.9485,0.11419286202025881,True,0.11419286202025881,0.976970519466433,0.0,0.0,m2_20260926T165115Z_1ffdde7
2016,hand_neg,0.8618256953186698,0.8189,0.8824,6,170,0.12875459985825985,0,0.8618256953186698,0.8189,0.8824,0.1291972263477174,True,0.1291972263477174,0.9965740248303296,0.0,0.0,m2_20260926T165115Z_1ffdde7
2016,hand_acc_neg,0.8657460259126912,0.8421,0.8791,6,170,0.07920574305068387,0,0.8657460259126912,0.8421,0.8791,0.07908258797285593,True,0.07908258797285593,1.0015572970104394,0.0,0.0,m2_20260926T165115Z_1ffdde7
2016,L1,0.9196080255842867,0.8634,0.957,6,170,0.3129092996679974,0,0.9196080255842868,0.8634,0.957,0.32112379352473225,True,0.32112379352473225,0.9744195415525876,1.1102230246251565e-16,0.0,m2_20260926T165115Z_1ffdde7
2016,z_sensitivity,0.9540419576045226,0.9304,0.9685,6,170,0.20943473306341626,0,0.9540419576045226,0.9304,0.9685,0.2124811756035515,True,0.2124811756035515,0.9856625297206595,0.0,0.0,m2_20260926T165115Z_1ffdde7
2016,rf_F1_wf,0.9009228561822177,0.8667,0.9155,6,170,0.13532542406019812,0,0.9009228561822176,0.8667,0.9155,0.1302646795613518,True,0.1302646795613518,1.0388497059670179,1.1102230246251565e-16,0.0,m2_20260926T165115Z_1ffdde7
2016,logit_F1_wf,0.8311109460399871,0.7916,0.8502,6,170,0.10689774994831532,0,0.8311109460399871,0.7916,0.8502,0.10244413779026897,True,0.10244413779026897,1.0434735676839226,0.0,0.0,m2_20260926T165115Z_1ffdde7
2019,slope_neg,0.9131891249279496,0.7921,0.9244,3,56,0.2586320264035959,0,0.9131891249279496,0.7921,0.9244,0.2974692782128114,True,0.2974692782128114,0.8694411334086369,0.0,0.0,m2_20260926T165115Z_1ffdde7
2019,relelev_neg,0.526207177365531,0.5062,0.6818,3,56,0.16699437745963447,0,0.526207177365531,0.5062,0.6818,0.18807870410261227,True,0.18807870410261227,0.8878962573483355,0.0,0.0,m2_20260926T165115Z_1ffdde7
2019,twi,0.8743526122091436,0.6104,0.8846,3,56,0.28620029089889387,0,0.8743526122091436,0.6104,0.8846,0.4050424690663271,True,0.4050424690663271,0.7065932902261357,0.0,0.0,m2_20260926T165115Z_1ffdde7
2019,impervious,0.9416982440539393,0.9155,0.9487,3,56,0.09244234479562383,0,0.9416982440539392,0.9155,0.9487,0.13640124223918954,True,0.13640124223918954,0.6777236283047879,1.1102230246251565e-16,0.0,m2_20260926T165115Z_1ffdde7
2019,hand_neg,0.833115799343203,0.5308,0.8451,3,56,0.29709576838219565,0,0.833115799343203,0.5308,0.8451,0.4013642706853343,True,0.4013642706853343,0.7402147876164987,0.0,0.0,m2_20260926T165115Z_1ffdde7
2019,hand_acc_neg,0.8878477383733276,0.6514,0.8989,3,56,0.3018395774916361,0,0.8878477383733276,0.6514,0.8989,0.39793152325775255,True,0.39793152325775255,0.7585214034328345,0.0,0.0,m2_20260926T165115Z_1ffdde7
2019,L1,0.9608919944331523,0.7978,0.9662,3,56,0.38385208206419164,0,0.9608919944331524,0.7978,0.9662,0.5051902566493122,True,0.5051902566493122,0.7598168749534102,1.1102230246251565e-16,0.0,m2_20260926T165115Z_1ffdde7
2019,z_sensitivity,0.9719467660710494,0.8154,0.9771,3,56,0.4170262240106512,0,0.9719467660710494,0.8154,0.9771,0.5785730350055197,True,0.5785730350055197,0.7207840648962713,0.0,0.0,m2_20260926T165115Z_1ffdde7
2019,rf_F1_wf,0.9717274150183539,0.7886,0.9761,3,56,0.4656251332035786,0,0.971727415018354,0.7886,0.9761,0.6105161758361781,True,0.6105161758361781,0.7626745230228288,1.1102230246251565e-16,0.0,m2_20260926T165115Z_1ffdde7
2019,logit_F1_wf,0.9723724327276037,0.7837,0.9777,3,56,0.4892990029881201,0,0.9723724327276037,0.7837,0.9777,0.6360464413153086,True,0.6360464413153086,0.7692818813297296,0.0,0.0,m2_20260926T165115Z_1ffdde7
2025,slope_neg,0.952440464344942,0.9394,0.9624,14,25,0.12714935089880228,0,0.952440464344942,0.9394,0.9624,0.12793082875568176,True,0.12793082875568176,0.9938914031552791,0.0,0.0,m2_20260926T165115Z_1ffdde7
2025,relelev_neg,0.40395462686567163,0.3901,0.4217,14,25,0.03522492005239998,0,0.4039546268656716,0.3901,0.4217,0.03344277992151608,True,0.03344277992151608,1.0532892341804794,5.551115123125783e-17,0.0,m2_20260926T165115Z_1ffdde7
2025,twi,0.9097610613598673,0.8938,0.9223,14,25,0.09076476196142014,0,0.9097610613598672,0.8938,0.9223,0.08772032748786755,True,0.08772032748786755,1.034706145778738,1.1102230246251565e-16,0.0,m2_20260926T165115Z_1ffdde7
2025,impervious,0.4106801990049751,0.3581,0.4815,14,25,0.13131456037451433,0,0.4106801990049751,0.3581,0.4815,0.12999893337364787,True,0.12999893337364787,1.0101202907341174,0.0,0.0,m2_20260926T165115Z_1ffdde7
2025,hand_neg,0.9174580431177446,0.8877,0.9416,14,25,0.18424093459358434,0,0.9174580431177446,0.8877,0.9416,0.18184126989182495,True,0.18184126989182495,1.013196480112501,0.0,0.0,m2_20260926T165115Z_1ffdde7
2025,hand_acc_neg,0.9271676285240464,0.9013,0.9494,14,25,0.18619680943464584,0,0.9271676285240464,0.9013,0.9494,0.18370883760648857,True,0.18370883760648857,1.0135430165503883,0.0,0.0,m2_20260926T165115Z_1ffdde7
2025,L1,0.3648270646766169,0.3156,0.436,14,25,0.13383286726401014,0,0.3648270646766169,0.3156,0.436,0.13180215273663265,True,0.13180215273663265,1.015407294078385,0.0,0.0,m2_20260926T165115Z_1ffdde7
2025,z_sensitivity,0.7237057379767827,0.6962,0.7637,14,25,0.08893859088202402,0,0.7237057379767827,0.6962,0.7637,0.08770708931329958,True,0.08770708931329958,1.0140410721455524,0.0,0.0,m2_20260926T165115Z_1ffdde7
2025,rf_F1_wf,0.85457592039801,0.8347,0.8765,14,25,0.08861816332729147,0,0.85457592039801,0.8347,0.8765,0.08683454822345182,True,0.08683454822345182,1.0205403855991726,0.0,0.0,m2_20260926T165115Z_1ffdde7
2025,logit_F1_wf,0.8527352570480928,0.8339,0.8793,14,25,0.09354455753464681,0,0.8527352570480928,0.8339,0.8793,0.09497484054410997,True,0.09497484054410997,0.9849404010444337,0.0,0.0,m2_20260926T165115Z_1ffdde7
