score,unit,stratum,test_event,role,auc,ci_lo,ci_hi,n_units,n_pos_cells,n_clusters,included,reason,y,se,run_id
L1,cluster_gate,URBAN,2006,development,0.0692,0.0159,0.1225,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
z_sensitivity,cell_gate,URBAN,2006,development,0.2248014030743835,0.0468,0.4028,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
z_sensitivity,cluster_gate,URBAN,2006,development,0.2248,0.0468,0.4028,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
slope_neg,object,URBAN,2006,development,0.3613016355792806,0.223590593091462,0.5073019149002204,7,2,2,True,,-0.56971913469814,0.32502460337143946,m2_20260926T165115Z_1ffdde7
relelev_neg,object,URBAN,2006,development,0.2975543899941032,0.1238493529064895,0.4994879116104403,7,2,2,True,,-0.8589709429463042,0.4985866520393727,m2_20260926T165115Z_1ffdde7
twi,object,URBAN,2006,development,0.3382421402191117,0.1585961019211073,0.5778719623847801,7,2,2,True,,-0.6711376881246975,0.505814071040565,m2_20260926T165115Z_1ffdde7
impervious,object,URBAN,2006,development,0.3318177586046367,0.2296165544210297,0.4089423435026846,7,2,2,True,,-0.6999750544498551,0.21483512511683467,m2_20260926T165115Z_1ffdde7
hand_neg,object,URBAN,2006,development,0.6580180627541045,0.502700102417678,0.8133367989820304,7,2,2,True,,0.654474461345266,0.37272084043481396,m2_20260926T165115Z_1ffdde7
hand_acc_neg,object,URBAN,2006,development,0.625865119021756,0.4623227087924025,0.7977293535272028,7,2,2,True,,0.5145185063378893,0.3885678920403442,m2_20260926T165115Z_1ffdde7
L1,object,URBAN,2006,development,0.036172061698892,0.0141367431178424,0.0674249712920145,7,2,2,True,,-3.2826257468548947,0.41271324510556956,m2_20260926T165115Z_1ffdde7
z_sensitivity,object,URBAN,2006,development,0.1294187020886999,0.0522485335650662,0.2334987275379411,7,2,2,True,,-1.9061082461464127,0.43608473411293536,m2_20260926T165115Z_1ffdde7
slope_neg,cell_gate,AGRI,2006,development,0.685614849187935,0.4767,0.7738,89,89,3,True,,0.7796971965263972,0.3375473835715104,m2_20260926T165115Z_1ffdde7
slope_neg,cluster_gate,AGRI,2006,development,0.6467,0.4767,0.7738,3,89,3,True,,0.6045649540874478,0.3375473835715104,m2_20260926T165115Z_1ffdde7
relelev_neg,cell_gate,AGRI,2006,development,0.4828288884833633,0.4305,0.6575,89,89,3,True,,-0.06871146706704512,0.23775553344869252,m2_20260926T165115Z_1ffdde7
relelev_neg,cluster_gate,AGRI,2006,development,0.5532,0.4305,0.6575,3,89,3,True,,0.21360853259555757,0.23775553344869252,m2_20260926T165115Z_1ffdde7
twi,cell_gate,AGRI,2006,development,0.6358367658176699,0.4847,0.7137,89,89,3,True,,0.5573396602076218,0.2486376316206954,m2_20260926T165115Z_1ffdde7
twi,cluster_gate,AGRI,2006,development,0.6305,0.4847,0.7137,3,89,3,True,,0.5343624150167176,0.2486376316206954,m2_20260926T165115Z_1ffdde7
impervious,cell_gate,AGRI,2006,development,0.4993851942612338,0.4783,0.5421,89,89,3,True,,-0.0024592241944687565,0.0652191131984839,m2_20260926T165115Z_1ffdde7
impervious,cluster_gate,AGRI,2006,development,0.5181,0.4783,0.5421,3,89,3,True,,0.07243165017445552,0.0652191131984839,m2_20260926T165115Z_1ffdde7
hand_neg,cell_gate,AGRI,2006,development,0.7824999782754156,0.6262,0.8267,89,89,3,True,,1.2802949442393805,0.26696122222669366,m2_20260926T165115Z_1ffdde7
hand_neg,cluster_gate,AGRI,2006,development,0.7208,0.6262,0.8267,3,89,3,True,,0.9484333354059107,0.26696122222669366,m2_20260926T165115Z_1ffdde7
hand_acc_neg,cell_gate,AGRI,2006,development,0.7660729337747769,0.6783,0.8004,89,89,3,True,,1.1862679950369057,0.16398923913798696,m2_20260926T165115Z_1ffdde7
hand_acc_neg,cluster_gate,AGRI,2006,development,0.7597,0.6783,0.8004,3,89,3,True,,1.151035475766753,0.16398923913798696,m2_20260926T165115Z_1ffdde7
L1,cell_gate,AGRI,2006,development,0.2938554185458432,0.2653,0.3076,89,89,3,True,,-0.876732133397073,0.05286765661171195,m2_20260926T165115Z_1ffdde7
L1,cluster_gate,AGRI,2006,development,0.2825,0.2653,0.3076,3,89,3,True,,-0.9320943970472807,0.05286765661171195,m2_20260926T165115Z_1ffdde7
z_sensitivity,cell_gate,AGRI,2006,development,0.6325416894774804,0.4672,0.712,89,89,3,True,,0.5431362591839672,0.264419685046261,m2_20260926T165115Z_1ffdde7
z_sensitivity,cluster_gate,AGRI,2006,development,0.5671,0.4672,0.712,3,89,3,True,,0.27002890057204765,0.264419685046261,m2_20260926T165115Z_1ffdde7
slope_neg,object,AGRI,2006,development,0.6267469389865379,0.536108040771584,0.7206979637663911,19,89,3,True,,0.5182862157205386,0.20491252613664993,m2_20260926T165115Z_1ffdde7
relelev_neg,object,AGRI,2006,development,0.481760388796808,0.4381435544830481,0.5192033137316948,19,89,3,True,,-0.07299083343002155,0.08305020776986999,m2_20260926T165115Z_1ffdde7
twi,object,AGRI,2006,development,0.5855365189549765,0.4883318591433132,0.674123837175261,19,89,3,True,,0.34554368628397414,0.19734480653692804,m2_20260926T165115Z_1ffdde7
impervious,object,AGRI,2006,development,0.563320409640266,0.4884494748985636,0.6430431604393307,19,89,3,True,,0.2546488541860735,0.16194361105828148,m2_20260926T165115Z_1ffdde7
hand_neg,object,AGRI,2006,development,0.7531386604529242,0.6925434380679207,0.80890511070296,19,89,3,True,,1.1154225542310177,0.16094029494911377,m2_20260926T165115Z_1ffdde7
hand_acc_neg,object,AGRI,2006,development,0.7214396687694844,0.6508726975825911,0.7837049536936862,19,89,3,True,,0.9516140904479593,0.1695214132647418,m2_20260926T165115Z_1ffdde7
L1,object,AGRI,2006,development,0.2377291934922701,0.1833751856326412,0.2924279583640233,19,89,3,True,,-1.1651696983008377,0.15562133081495738,m2_20260926T165115Z_1ffdde7
z_sensitivity,object,AGRI,2006,development,0.5386493426746684,0.4399184692150713,0.6299618017567413,19,89,3,True,,0.15490639020930141,0.1973367633352214,m2_20260926T165115Z_1ffdde7
