model,baseline,unit,stratum,set,variant,rho,k,mu,se,ci_lo,ci_hi,pi_lo,pi_hi,tau2,tau2_lo,tau2_hi,q,q_p,i2,i2_lo,i2_hi,tau,tau2_outside_qprofile,fe_max_share,fe_max_event,k_eff_fe,re_max_share,re_max_event,k_eff_re,mean_equal,mean_unit_weighted,median,events,n_units_total,n_pos_cells_total,n_clusters_total,flag,run_id
rf_F1_wf,slope_neg,object,URBAN,holdout,main,0.0,4,0.19013348342074235,0.183691101155097,-0.39445358276379194,0.7747205496052766,-0.6002255343949202,0.9804925012364049,0.0,0.0,0.4522972492878446,0.5020620601190614,0.9184381530468116,0.0,0.0,0.6712457378649996,0.0,False,0.7124603564410885,2024-09-20,1.8415046222592157,0.7124603564410885,2024-09-20,1.8415046222592157,0.06394872585451777,0.04253356946904676,0.04291364334288611,2022-09-06;2023-08-10;2024-07-24;2024-09-20,81,36,14,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,object,UNIVERSE,holdout,main,0.0,4,-0.08253827169140582,0.1714842353116771,-0.6282776427734545,0.4632010993906429,-1.0140284947619604,0.8489519513791487,0.017461976141183284,0.0,1.0765595398927281,1.973442400884661,0.5779370909606589,0.0,0.0,0.8412189306311187,0.13214377072409916,False,0.8546140710860836,2024-09-20,1.3520808268309261,0.7718253932072683,2024-09-20,1.6179592185459406,0.03823245186894861,-0.03729898894022167,0.03938402175672223,2022-09-06;2023-08-10;2024-07-24;2024-09-20,145,107,65,,m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,ALL,holdout,main,0.0,2,-0.15045715242944774,0.6586326108342561,-8.519177951610777,8.21826364675188,,,0.7799269529382378,0.08485426702561955,883.5661795006922,9.874665995383547,0.0016757001316775712,0.8987307519598633,0.4912348235715037,0.9999005465989802,0.8831347309092977,False,0.5778101911876447,2024-09-20,1.9527098519582573,0.5078797796398857,2024-09-20,1.9995033959210458,-0.00937761582808122,-0.07781430332420777,-0.00937761582808122,2023-08-10;2024-09-20,1272,1272,55,"k=2: tau2 불안정, 예측구간 없음",m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cluster_gate,ALL,holdout,main,0.0,2,0.15589278496663647,0.2924715610207256,-3.5603107488713133,3.872096318804586,,,0.11292487044520487,0.0,181.57601379244272,2.725107569090645,0.09878146616971252,0.6330420085641996,0.0,0.9996396218893102,0.3360429592257586,False,0.7757355504137475,2024-09-20,1.5336007612997817,0.6011833637328067,2024-09-20,1.9213176383111517,0.022799999999999987,-0.008114545454545475,0.022799999999999987,2023-08-10;2024-09-20,55,1272,55,"k=2: tau2 불안정, 예측구간 없음",m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,FLAT,holdout,main,0.0,2,-0.18877551957812275,1.016427464717086,-13.103710985744396,12.726159946588151,,,1.9087093624630684,0.25177360115990055,2106.321845266467,12.929328732642496,0.0003234737597009715,0.922656464177037,0.6114348787009217,0.9999240433020552,1.3815604809283843,False,0.7229812218783818,2024-09-20,1.6682201949973388,0.5172461561196113,2024-09-20,1.9976233882943202,-0.02494419788697569,-0.2534485485287551,-0.02494419788697569,2023-08-10;2024-09-20,1234,1234,50,"k=2: tau2 불안정, 예측구간 없음",m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cluster_gate,FLAT,holdout,main,0.0,2,0.1832373755906076,0.5390097167240068,-6.665530439892147,7.032005191073362,,,0.4638306663431749,0.0,607.925652647622,4.478940198148283,0.03431499345428522,0.7767328975695127,0.0,0.9997807362738218,0.6810511481108998,False,0.8676375098805671,2024-09-20,1.2981707728198297,0.5820813615843266,2024-09-20,1.9475156230938075,0.06464999999999996,-0.051994000000000075,0.06464999999999996,2023-08-10;2024-09-20,50,1234,50,"k=2: tau2 불안정, 예측구간 없음",m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,URBAN,holdout,main,0.0,2,0.011053385428832326,0.34183795015856927,-4.33240959588023,4.3545163667378946,,,0.0,0.0,197.3719825492684,0.7942859234125236,0.3728072946103227,0.0,0.0,0.9987635823722572,0.0,False,0.6042896589266126,2023-08-10,1.9166169438548697,0.6042896589266126,2023-08-10,1.9166169438548697,-0.010702175097473177,-0.02317285441812643,-0.010702175097473177,2023-08-10;2024-09-20,36,36,14,"k=2: tau2 불안정, 예측구간 없음",m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cluster_gate,URBAN,holdout,main,0.0,2,-0.37614179568930267,0.6096313271579723,-8.122242252144394,7.369958660765789,,,0.4955231698926266,0.0,761.369765688968,2.9629149284535514,0.08519422694587395,0.66249452848046,0.0,0.9996685462995429,0.7039340664384887,False,0.6169963419130702,2023-08-10,1.8961792986798236,0.5394869045123766,2023-08-10,1.9876035896830313,-0.09980000000000003,-0.18300000000000002,-0.09980000000000003,2023-08-10;2024-09-20,14,36,14,"k=2: tau2 불안정, 예측구간 없음",m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cell_gate,UNIVERSE,holdout,main,0.0,2,-0.3580136739803832,0.6780503076107378,-8.973459703908649,8.25743235594788,,,0.8062085313870924,0.06621248932184313,940.6479648210383,7.8503682141642575,0.005081035762751591,0.8726174400080087,0.36004451635148754,0.9998749015217652,0.8978911578733206,False,0.7706462050846254,2024-09-20,1.5467934325385857,0.5344756068851273,2024-09-20,1.9905364524980675,-0.07314829916994592,-0.18375989852675578,-0.07314829916994592,2023-08-10;2024-09-20,107,107,65,"k=2: tau2 불안정, 예측구간 없음",m2_20260926T165115Z_1ffdde7
rf_F1_wf,slope_neg,cluster_gate,UNIVERSE,holdout,main,0.0,2,-0.3641596650427675,0.6021757868076766,-8.015528499388191,7.287209169302655,,,0.6269859293816078,0.04129747626986482,744.4883368571756,7.013938498438262,0.008087756891588893,0.8574267510012153,0.2837282236743998,0.9998599832152228,0.7918244309072611,False,0.8179362360991568,2024-09-20,1.4241628298904647,0.5453292021344052,2024-09-20,1.983696108280809,-0.07235000000000003,-0.18806000000000003,-0.07235000000000003,2023-08-10;2024-09-20,65,107,65,"k=2: tau2 불안정, 예측구간 없음",m2_20260926T165115Z_1ffdde7
