grid_id,cdri,grade_code,in_robust_core,primary_cause,h_shap,e_shap,v_shap,d_shap,baseline,reconstructed,xai_main_positive
라라796823,0.25669936630704343,R1,0,V,-0.0036064659181662267,-0.15402755758079134,0.08632478371269123,-0.04115750129021463,0.36916610738352446,0.2566993663070435,V
라라796826,0.3103036410070286,R2,0,V,-0.006089268187169631,-0.11321859997326737,0.09024233472339532,-0.029796932939454155,0.36916610738352446,0.3103036410070286,V
라라796827,0.3051057719514619,R1,0,V,-0.026439201568934513,-0.11269749377369727,0.08984192708991166,-0.014765567179342458,0.36916610738352446,0.3051057719514619,V
라라796828,0.2922009046924246,R1,0,V,-0.033393713586406554,-0.11894582243013048,0.08887911201088,-0.013504778685442935,0.36916610738352446,0.2922009046924245,V
라라797804,0.41290622090384166,R2,0,D,-0.06042240876593396,-0.12517787149347626,0.0900384505131516,0.13930194326657572,0.36916610738352446,0.41290622090384155,D
라라797805,0.356559008433743,R2,0,D,-0.049413953189564444,-0.17108219976396244,0.08645870929569367,0.12143034470805172,0.36916610738352446,0.356559008433743,D
라라797806,0.3592511643711759,R2,0,D,-0.03352806591659408,-0.17127954405516652,0.08654598539056178,0.10834668156885015,0.36916610738352446,0.35925116437117577,D
라라797808,0.3688871560341609,R2,0,V,0.006878067378271122,-0.17239643950021807,0.08705469175873114,0.07818472901385215,0.36916610738352446,0.3688871560341608,V
라라797809,0.38692288669610003,R2,0,V,-0.008900104705636885,-0.12169471129805562,0.08780746248038739,0.060544132835880685,0.36916610738352446,0.38692288669610003,V
라라797810,0.36508862481331517,R2,0,V,-0.009947225069620211,-0.11926881915326402,0.08623092364586554,0.03890763800680941,0.36916610738352446,0.36508862481331517,V
라라797818,0.29480018012573356,R1,0,V,-0.01656933653010653,-0.16036943654562386,0.08946031122520148,0.013112534592738019,0.36916610738352446,0.29480018012573356,V
라라797820,0.37806801796545747,R2,0,V,-0.01270116754684443,-0.04971955831238026,0.09507720318920251,-0.023754566748044808,0.36916610738352446,0.37806801796545747,V
라라797821,0.36727794469075736,R2,0,V,-0.022568116726685416,-0.029196715551372255,0.09419841343245254,-0.044321743847161955,0.36916610738352446,0.36727794469075736,V
라라797822,0.31408230486911437,R2,0,V,-0.03078252337271922,-0.06486346213539226,0.09026647193535561,-0.04970428894165434,0.36916610738352446,0.31408230486911426,V
라라797823,0.3033513003455031,R1,0,V,-0.021028728322597723,-0.08306106985072174,0.08951696458399053,-0.051241973448692496,0.36916610738352446,0.303351300345503,V
라라797824,0.24660613776812715,R1,0,V,-0.007521666068889492,-0.15235987292961511,0.08549443596135198,-0.04817286657824462,0.36916610738352446,0.2466061377681272,V
라라797825,0.26963395750058294,R1,0,V,0.014161473677717019,-0.15616931488834437,0.08740286076512599,-0.04492716943744027,0.36916610738352446,0.26963395750058283,V
라라797828,0.25351339289519936,R1,0,V,-0.04375354708367832,-0.15362817243897364,0.08609850459032768,-0.0043694995560008415,0.36916610738352446,0.25351339289519936,V
라라797855,0.48910564717759175,R3,0,V,0.03209355788375066,-0.09772983602847252,0.10541400396734645,0.08016181397144281,0.36916610738352446,0.48910564717759186,V
라라797867,0.4964472348685174,R3,0,V,0.012044285116224651,-0.14296220423204464,0.10665181671401837,0.15154722988679453,0.36916610738352446,0.4964472348685174,D
라라797869,0.35359586251683417,R2,0,V,-0.06819987758645096,-0.17091537014344557,0.0962540270237964,0.12729097583940974,0.36916610738352446,0.35359586251683406,D
라라798804,0.4080904702043768,R2,0,D,-0.06505862122736358,-0.12469517917965645,0.08972222265746321,0.13895594057040914,0.36916610738352446,0.4080904702043768,D
라라798806,0.3630924778289278,R2,0,D,-0.030389390503643032,-0.17187752312556298,0.08681675134165147,0.10937653273295787,0.36916610738352446,0.3630924778289278,D
