score,unit,stratum,storm,metric,value,ci_lo,ci_hi,n_units,test_event,role,year,n_polygons,run_id
L1,object,ALL,ALL,capture_0.2,0.6988923900256243,,,7,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,observed-label_auc,0.9719467660710494,0.8154,0.9771,56,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cluster_gate,ALL,ALL,observed-label_auc,0.9222,0.8154,0.9771,3,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,capture_0.2,1.0,,,56,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,capture_0.2,1.0,,,7,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,observed-label_auc,0.9553264503003367,0.9143,0.957,56,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cluster_gate,ALL,ALL,observed-label_auc,0.9424,0.9143,0.957,3,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,capture_0.2,1.0,,,56,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,capture_0.2,1.0,,,7,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,observed-label_auc,0.9717274150183539,0.7886,0.9761,56,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cluster_gate,ALL,ALL,observed-label_auc,0.9121,0.7886,0.9761,3,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,capture_0.2,0.9821,,,56,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,capture_0.2,0.6988923900256243,,,7,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,observed-label_auc,0.9075982682132838,0.8528448999256634,0.9630926809654143,7,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,observed-label_auc,0.923337503988858,0.8719736694427297,0.9759789866739136,7,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,observed-label_auc,0.9457516139722871,0.9310950843102024,0.9592789525505965,7,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,observed-label_auc,0.9132502124893644,0.8581910502736322,0.9777496420962298,7,2019,development,2019,7,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,observed-label_auc,0.3648270646766169,0.3156,0.436,25,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
L1,cluster_gate,ALL,ALL,observed-label_auc,0.3806,0.3219,0.4523,14,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,capture_0.2,0.0,,,25,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,capture_0.2,0.0,,,18,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,observed-label_auc,0.7237057379767827,0.6962,0.7637,25,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cluster_gate,ALL,ALL,observed-label_auc,0.7319,0.701,0.7703,14,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,capture_0.2,0.16,,,25,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,capture_0.2,0.13411960206706794,,,18,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,observed-label_auc,0.43808955223880597,0.4381,0.4381,25,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cluster_gate,ALL,ALL,observed-label_auc,0.4381,0.4381,0.4381,14,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,capture_0.2,0.0,,,25,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,capture_0.2,0.0,,,18,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,observed-label_auc,0.85457592039801,0.8347,0.8765,25,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cluster_gate,ALL,ALL,observed-label_auc,0.856,0.837,0.8751,14,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,cell_gate,ALL,ALL,capture_0.2,0.96,,,25,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,capture_0.2,0.8977440272827969,,,18,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,observed-label_auc,0.35980076796506233,0.31485125629151123,0.4177835258956562,18,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,observed-label_auc,0.72851659305147,0.7040538963901802,0.7590145015606653,18,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,observed-label_auc,0.43954326758323864,0.4395432675832386,0.43954326758323864,18,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
rf_walkforward,object,ALL,ALL,observed-label_auc,0.8559792627169514,0.83559550799416,0.8769394934477406,18,2025,development,2025,18,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,observed-label_auc,,,,0,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
L1,cluster_gate,ALL,ALL,observed-label_auc,,,,0,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,capture_0.2,0.0,,,0,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,capture_0.2,1.0,,,5,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,observed-label_auc,,,,0,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cluster_gate,ALL,ALL,observed-label_auc,,,,0,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,capture_0.2,0.0,,,0,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,capture_0.2,0.8,,,5,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,observed-label_auc,,,,0,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cluster_gate,ALL,ALL,observed-label_auc,,,,0,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,capture_0.2,0.0,,,0,2022-09-06,holdout,2022,5,walkforward_20260926T135215Z_3d14fc1
