score,unit,stratum,storm,metric,value,ci_lo,ci_hi,n_units,test_event,role,year,n_polygons,train_events,run_id
slope_neg,cluster_gate,UNIVERSE,ALL,observed-label_auc,0.5777,0.4863,0.7134,5,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,cell_gate,UNIVERSE,ALL,capture_0.2,0.2,,,10,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,object,UNIVERSE,ALL,capture_0.2,0.0908978263911525,,,11,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,cell_gate,UNIVERSE,ALL,observed-label_auc,0.3467425431711146,0.2315,0.4966,10,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,cluster_gate,UNIVERSE,ALL,observed-label_auc,0.3534,0.242,0.4788,5,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,cell_gate,UNIVERSE,ALL,capture_0.2,0.0,,,10,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,object,UNIVERSE,ALL,capture_0.2,1.1264517938403559e-05,,,11,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,cell_gate,UNIVERSE,ALL,observed-label_auc,0.542984693877551,0.3846,0.7662,10,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,cluster_gate,UNIVERSE,ALL,observed-label_auc,0.5466,0.3918,0.7356,5,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,cell_gate,UNIVERSE,ALL,capture_0.2,0.2,,,10,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,object,UNIVERSE,ALL,capture_0.2,0.0908978263911525,,,11,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,cell_gate,UNIVERSE,ALL,observed-label_auc,0.3563775510204082,0.2837,0.4337,10,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,cluster_gate,UNIVERSE,ALL,observed-label_auc,0.3415,0.2645,0.4314,5,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,cell_gate,UNIVERSE,ALL,capture_0.2,0.0,,,10,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,object,UNIVERSE,ALL,capture_0.2,0.0,,,11,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,cell_gate,UNIVERSE,ALL,observed-label_auc,0.8267072213500785,0.74,0.9113,10,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,cluster_gate,UNIVERSE,ALL,observed-label_auc,0.8506,0.7698,0.9135,5,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,cell_gate,UNIVERSE,ALL,capture_0.2,0.6,,,10,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,object,UNIVERSE,ALL,capture_0.2,0.4275369088285767,,,11,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,cell_gate,UNIVERSE,ALL,observed-label_auc,0.842798273155416,0.7414,0.9372,10,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,cluster_gate,UNIVERSE,ALL,observed-label_auc,0.8689,0.7645,0.9372,5,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,cell_gate,UNIVERSE,ALL,capture_0.2,0.6,,,10,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,object,UNIVERSE,ALL,capture_0.2,0.4275369088285767,,,11,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,cell_gate,UNIVERSE,ALL,observed-label_auc,0.11317700156985872,0.0609,0.1889,10,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
