no,block,dist,median,shape,beta,n_obj,n_events,counts,upsilon,mu0,tau,delta_star,object_auc_limit,top10_share_theory,neff_ratio_theory
35,A,lognormal,5000.0,2.0,0.0,200,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.7637595841058832,0.01831563888873418
36,A,lognormal,5000.0,2.0,0.5,30,1,equal,0.0,0.95,0.5,0.1652415794262272,0.7260243075020016,0.7637595841058832,0.01831563888873418
37,A,lognormal,5000.0,2.0,0.5,200,1,equal,0.0,0.95,0.5,0.1652415794262272,0.7260243075020016,0.7637595841058832,0.01831563888873418
38,A,lognormal,5000.0,2.0,1.0,30,1,equal,0.0,0.95,0.5,0.2482273329206528,0.700891117754484,0.7637595841058832,0.01831563888873418
39,A,lognormal,5000.0,2.0,1.0,200,1,equal,0.0,0.95,0.5,0.2482273329206528,0.700891117754484,0.7637595841058832,0.01831563888873418
40,A,lognormal,5000.0,2.5,-1.0,30,1,equal,0.0,0.95,0.5,-0.5059374169457933,0.700891117754484,0.8884731955196588,0.0019304541362277093
41,A,lognormal,5000.0,2.5,-1.0,200,1,equal,0.0,0.95,0.5,-0.5059374169457933,0.700891117754484,0.8884731955196588,0.0019304541362277093
42,A,lognormal,5000.0,2.5,-0.5,30,1,equal,0.0,0.95,0.5,-0.3012665613194842,0.7260243075020016,0.8884731955196588,0.0019304541362277093
43,A,lognormal,5000.0,2.5,-0.5,200,1,equal,0.0,0.95,0.5,-0.3012665613194842,0.7260243075020016,0.8884731955196588,0.0019304541362277093
44,A,lognormal,5000.0,2.5,0.0,30,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.8884731955196588,0.0019304541362277093
45,A,lognormal,5000.0,2.5,0.0,200,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.8884731955196588,0.0019304541362277093
46,A,lognormal,5000.0,2.5,0.5,30,1,equal,0.0,0.95,0.5,0.19192393908510486,0.7260243075020016,0.8884731955196588,0.0019304541362277093
47,A,lognormal,5000.0,2.5,0.5,200,1,equal,0.0,0.95,0.5,0.19192393908510486,0.7260243075020016,0.8884731955196588,0.0019304541362277093
48,A,lognormal,5000.0,2.5,1.0,30,1,equal,0.0,0.95,0.5,0.27128063483005005,0.700891117754484,0.8884731955196588,0.0019304541362277093
49,A,lognormal,5000.0,2.5,1.0,200,1,equal,0.0,0.95,0.5,0.27128063483005005,0.700891117754484,0.8884731955196588,0.0019304541362277093
50,A,lognormal,5000.0,3.0,-1.0,30,1,equal,0.0,0.95,0.5,-0.5731502745905315,0.700891117754484,0.9571425738271104,0.00012340980408667956
51,A,lognormal,5000.0,3.0,-1.0,200,1,equal,0.0,0.95,0.5,-0.5731502745905315,0.700891117754484,0.9571425738271104,0.00012340980408667956
