rule,distance_bin,gap_bin,n,auc_unit_flip_rate,unit_flip_rate,grid_pass_rate,object_pass_rate
soft,"[-inf, -0.1)","[-0.2, -0.1)",24,0.0,0.0,0.0,0.0
soft,"[-inf, -0.1)","[-inf, -0.2)",131,0.0,0.0,0.0,0.0
soft,"[-inf, -0.1)","[0.0, 0.1)",12,0.0,0.0,0.0,0.0
soft,"[-inf, -0.1)","[0.1, 0.2)",25,0.84,0.8,0.8,0.0
soft,"[-inf, -0.1)","[0.2, inf)",46,1.0,1.0,1.0,0.0
soft,"[0.0, 0.05)","[-0.1, 0.0)",1828,0.5946389496717724,0.5760393873085339,0.1925601750547046,0.7390590809628009
soft,"[0.0, 0.05)","[-0.2, -0.1)",1458,1.0,0.7956104252400549,0.0,0.7956104252400549
soft,"[0.0, 0.05)","[-inf, -0.2)",1089,1.0,0.8576675849403123,0.0,0.8576675849403123
soft,"[0.0, 0.05)","[0.0, 0.1)",2174,0.0,0.22953081876724932,0.9319227230910764,0.7272309107635695
soft,"[0.0, 0.05)","[0.1, 0.2)",1840,0.0,0.2896739130434783,1.0,0.7103260869565218
soft,"[0.0, 0.05)","[0.2, inf)",605,0.0,0.2975206611570248,1.0,0.7024793388429752
soft,"[0.05, 0.1)","[-0.1, 0.0)",743,0.19380888290713325,0.3714670255720054,0.6056527590847914,0.971736204576043
soft,"[0.05, 0.1)","[-0.2, -0.1)",305,1.0,0.9901639344262295,0.0,0.9901639344262295
soft,"[0.05, 0.1)","[-inf, -0.2)",344,1.0,0.9941860465116279,0.0,0.9941860465116279
soft,"[0.05, 0.1)","[0.0, 0.1)",900,0.0,0.034444444444444444,0.9955555555555555,0.97
soft,"[0.05, 0.1)","[0.1, 0.2)",874,0.0,0.06864988558352403,1.0,0.931350114416476
soft,"[0.05, 0.1)","[0.2, inf)",76,0.0,0.13157894736842105,1.0,0.868421052631579
soft,"[0.1, inf)","[-0.1, 0.0)",214,0.0,0.04672897196261682,0.9532710280373832,1.0
soft,"[0.1, inf)","[-0.2, -0.1)",155,0.832258064516129,0.9290322580645162,0.07096774193548387,1.0
soft,"[0.1, inf)","[-inf, -0.2)",85,1.0,1.0,0.0,1.0
soft,"[0.1, inf)","[0.0, 0.1)",348,0.0,0.0,1.0,1.0
soft,"[0.1, inf)","[0.1, 0.2)",204,0.0,0.0,1.0,1.0
