prior,config,held_event,n_test,n_positive,grid_auc,cluster_auc,observed_label_ap,top20_capture
"2006,2012,2014,2016",ridge|F2|C=0.1,2012,75007,206,0.8278611222553875,0.6735955409458348,0.008565540313436194,0.6747572815533981
"2006,2012,2014,2016",ridge|F2|C=0.1,2014,74933,132,0.8342832274564471,0.7909267170341738,0.006319074356573958,0.696969696969697
"2006,2012,2014,2016",ridge|F2|C=0.1,2016,74971,170,0.8403267650558305,0.8277424081230226,0.007478291627596276,0.7764705882352941
"2006,2012,2014,2016",ridge|F2|C=1.0,2006,74908,107,0.7610283584843872,0.7925953021771992,0.0027286758652557393,0.2616822429906542
"2006,2012,2014,2016",ridge|F2|C=1.0,2012,75007,206,0.8271275252926762,0.6781314614597157,0.008397876240855313,0.6553398058252428
"2006,2012,2014,2016",ridge|F2|C=1.0,2014,74933,132,0.8360750524725605,0.7856045269012715,0.006524517325543633,0.7045454545454546
"2006,2012,2014,2016",ridge|F2|C=1.0,2016,74971,170,0.8372473000911439,0.8209334203856039,0.007335655254290444,0.788235294117647
"2006,2012,2014,2016","frequency_ratio|F2|n_bins=5,alpha=1.0",2006,74908,107,0.8761300232504763,0.8688161918861782,0.00759585998965539,0.8130841121495327
"2006,2012,2014,2016","frequency_ratio|F2|n_bins=5,alpha=1.0",2012,75007,206,0.868591004507364,0.7062938924550078,0.01296192806346031,0.8058252427184466
"2006,2012,2014,2016","frequency_ratio|F2|n_bins=5,alpha=1.0",2014,74933,132,0.7822211500170351,0.7503323487649747,0.004055894555423007,0.4621212121212121
"2006,2012,2014,2016","frequency_ratio|F2|n_bins=5,alpha=1.0",2016,74971,170,0.8617127641420332,0.8251550812882044,0.01097485939298554,0.8176470588235294
"2006,2012,2014,2016","frequency_ratio|F2|n_bins=10,alpha=1.0",2006,74908,107,0.8241031312115747,0.8097551637831634,0.003920850858121907,0.6728971962616822
"2006,2012,2014,2016","frequency_ratio|F2|n_bins=10,alpha=1.0",2012,75007,206,0.833822635931221,0.7346830754308616,0.01203057465286857,0.6553398058252428
"2006,2012,2014,2016","frequency_ratio|F2|n_bins=10,alpha=1.0",2014,74933,132,0.7751852085918476,0.7687026372473073,0.004198111282143921,0.3409090909090909
"2006,2012,2014,2016","frequency_ratio|F2|n_bins=10,alpha=1.0",2016,74971,170,0.8751531317999052,0.8406288344868117,0.01169510752317986,0.8294117647058824
"2006,2012,2014,2016","random_forest|F2|max_depth=2,min_samples_leaf=200",2006,74908,107,0.815841459463721,0.8242193875563449,0.003918512402285857,0.7757009345794392
"2006,2012,2014,2016","random_forest|F2|max_depth=2,min_samples_leaf=200",2012,75007,206,0.8491610685335576,0.7026856113029529,0.010913644109649935,0.7330097087378641
"2006,2012,2014,2016","random_forest|F2|max_depth=2,min_samples_leaf=200",2014,74933,132,0.821667025193716,0.7944208938654131,0.006128542624146103,0.6287878787878788
"2006,2012,2014,2016","random_forest|F2|max_depth=2,min_samples_leaf=200",2016,74971,170,0.8912107969616639,0.8893229348604298,0.012530285649350563,0.8235294117647058
"2006,2012,2014,2016","random_forest|F2|max_depth=4,min_samples_leaf=400",2006,74908,107,0.8002040804342287,0.8195957934551218,0.0033383334144370647,0.6074766355140186
"2006,2012,2014,2016","random_forest|F2|max_depth=4,min_samples_leaf=400",2012,75007,206,0.8432594548928075,0.7200411403043778,0.012415607984352584,0.7135922330097088
"2006,2012,2014,2016","random_forest|F2|max_depth=4,min_samples_leaf=400",2014,74933,132,0.8128026970956879,0.8002705452649851,0.0061039447445264865,0.6439393939393939
"2006,2012,2014,2016","random_forest|F2|max_depth=4,min_samples_leaf=400",2016,74971,170,0.898126794467202,0.8977033033454194,0.011939094803782047,0.8411764705882353
"2006,2012,2014,2016",xgboost|F2|max_depth=1,2006,74908,107,0.8661165382490889,0.8709897891694238,0.006006970541301535,0.8130841121495327
"2006,2012,2014,2016",xgboost|F2|max_depth=1,2012,75007,206,0.8422140273032538,0.6778310123232674,0.014167453700816676,0.7475728155339806
"2006,2012,2014,2016",xgboost|F2|max_depth=1,2014,74933,132,0.8127716044956456,0.7685639353321035,0.007204888679247056,0.6439393939393939
"2006,2012,2014,2016",xgboost|F2|max_depth=1,2016,74971,170,0.8927188768316247,0.8839451437215055,0.01751308606163324,0.8529411764705882
"2006,2012,2014,2016",xgboost|F2|max_depth=3,2006,74908,107,0.8209022394248064,0.827938488545881,0.003916457974265501,0.6448598130841121
"2006,2012,2014,2016",xgboost|F2|max_depth=3,2012,75007,206,0.8318511265424908,0.7265381418214485,0.00973352583222926,0.6650485436893204
"2006,2012,2014,2016",xgboost|F2|max_depth=3,2014,74933,132,0.8062659590112431,0.7852126797303609,0.005605012860793623,0.6287878787878788
"2006,2012,2014,2016",xgboost|F2|max_depth=3,2016,74971,170,0.8741109941122208,0.837638763249676,0.010700234874076082,0.8176470588235294
"2006,2012,2014,2016,2019",ridge|F0|C=0.1,2006,74890,107,0.8324513005292198,0.8214955948427374,0.003921459995146955,0.7383177570093458
"2006,2012,2014,2016,2019",ridge|F0|C=0.1,2012,74989,206,0.8662473780124215,0.7253155789716718,0.011440002039579452,0.8058252427184466
"2006,2012,2014,2016,2019",ridge|F0|C=0.1,2014,74915,132,0.8343239773745371,0.8036980493900353,0.005912086769402482,0.6590909090909091
"2006,2012,2014,2016,2019",ridge|F0|C=0.1,2016,74953,170,0.8638704455479422,0.8709213932285395,0.010372873953029172,0.7705882352941177
"2006,2012,2014,2016,2019",ridge|F0|C=0.1,2019,74839,56,0.9564621256549903,0.9006327252720151,0.011438736377024512,0.9642857142857143
"2006,2012,2014,2016,2019",ridge|F0|C=1.0,2006,74890,107,0.8338002502192949,0.8234577204669166,0.003953453930495619,0.7289719626168224
"2006,2012,2014,2016,2019",ridge|F0|C=1.0,2012,74989,206,0.8672106829741301,0.7254701407243687,0.01138623129141132,0.8058252427184466
"2006,2012,2014,2016,2019",ridge|F0|C=1.0,2014,74915,132,0.8328575121796843,0.7944101158607549,0.005845251868385964,0.6742424242424242
"2006,2012,2014,2016,2019",ridge|F0|C=1.0,2016,74953,170,0.8606083011945936,0.867411761561395,0.009848110346228315,0.7647058823529411
