score,unit,stratum,storm,metric,value,ci_lo,ci_hi,n_units,test_event,role,year,n_polygons,train_events,nested_status,run_id
slope_neg,object,AGRI,ALL,observed-label_auc,0.5222484851117406,0.35940201185510334,0.6647157854175472,12,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,AGRI,ALL,observed-label_auc,0.4840152539198019,0.32720129344923216,0.6224515476655386,12,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,UNIVERSE,ALL,observed-label_auc,0.8246372095436174,0.544,0.9157,105,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,cluster_gate,UNIVERSE,ALL,observed-label_auc,0.6541,0.5003,0.7919,15,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,UNIVERSE,ALL,capture_0.2,0.7143,,,105,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,UNIVERSE,ALL,capture_0.2,0.4281984788516285,,,25,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,UNIVERSE,ALL,observed-label_auc,0.6212991128906747,0.4284,0.7016,105,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,cluster_gate,UNIVERSE,ALL,observed-label_auc,0.5917,0.4498,0.724,15,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,UNIVERSE,ALL,capture_0.2,0.4095,,,105,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,UNIVERSE,ALL,capture_0.2,0.3024908646229182,,,25,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,UNIVERSE,ALL,observed-label_auc,0.6243831431375301,0.5081218580356489,0.7446949079223957,25,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,UNIVERSE,ALL,observed-label_auc,0.5221615290172287,0.4275052691073582,0.6203031295647065,25,2012,development,2012,31,[2006],선택 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,ALL,ALL,observed-label_auc,0.8131576499973429,0.7106,0.8533,132,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,cluster_gate,ALL,ALL,observed-label_auc,0.7288,0.6483,0.8031,13,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,ALL,ALL,capture_0.2,0.6212,,,132,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,object,ALL,ALL,capture_0.2,0.44781738219282347,,,47,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,ALL,ALL,observed-label_auc,0.8522077070862744,0.778,0.8831,132,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,cluster_gate,ALL,ALL,observed-label_auc,0.817,0.7714,0.8673,13,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,ALL,ALL,capture_0.2,0.6742,,,132,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,ALL,ALL,capture_0.2,0.5161249078528557,,,47,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,cell_gate,ALL,ALL,observed-label_auc,0.8387390170236134,0.7813,0.8643,132,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,cluster_gate,ALL,ALL,observed-label_auc,0.8139,0.7671,0.865,13,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,cell_gate,ALL,ALL,capture_0.2,0.7121,,,132,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,object,ALL,ALL,capture_0.2,0.578920835145582,,,47,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,cell_gate,ALL,ALL,observed-label_auc,0.8135554205497608,0.7065,0.8549,132,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,cluster_gate,ALL,ALL,observed-label_auc,0.7362,0.6643,0.8098,13,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,cell_gate,ALL,ALL,capture_0.2,0.6061,,,132,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,object,ALL,ALL,capture_0.2,0.39917660831373236,,,47,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,object,ALL,ALL,observed-label_auc,0.7776172656544723,0.7319439395770762,0.8196836420394911,47,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,ALL,ALL,observed-label_auc,0.8293385571693932,0.7972314851879627,0.8602143424195294,47,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,object,ALL,ALL,observed-label_auc,0.8191922796410506,0.7841935658080629,0.8535311046850829,47,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,object,ALL,ALL,observed-label_auc,0.7687290795074535,0.7230476480378173,0.812616277783112,47,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,FLAT,ALL,observed-label_auc,0.5828271898051537,0.4291,0.6518,107,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,cluster_gate,FLAT,ALL,observed-label_auc,0.4472,0.3392,0.5478,13,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,FLAT,ALL,capture_0.2,0.215,,,107,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
slope_neg,object,FLAT,ALL,capture_0.2,0.13242106046167673,,,43,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,FLAT,ALL,observed-label_auc,0.6619902894137906,0.4964,0.7381,107,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,cluster_gate,FLAT,ALL,observed-label_auc,0.5458,0.4026,0.6889,13,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,cell_gate,FLAT,ALL,capture_0.2,0.4579,,,107,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
rf_F1_wf,object,FLAT,ALL,capture_0.2,0.352517589289003,,,43,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,cell_gate,FLAT,ALL,observed-label_auc,0.6320992643160317,0.5017,0.6949,107,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,cluster_gate,FLAT,ALL,observed-label_auc,0.5507,0.4226,0.6814,13,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,cell_gate,FLAT,ALL,capture_0.2,0.3925,,,107,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_rf,object,FLAT,ALL,capture_0.2,0.327299207572125,,,43,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
nested_all,cell_gate,FLAT,ALL,observed-label_auc,0.5853893303101877,0.3803,0.6714,107,2014,development,2014,47,"[2006, 2012]",선택,m3_20260926T164916Z_f383cb3
