test_event,role,rule,size_m,score,cell_auc,cell_auc_sklearn,identity_abs_diff,auc_from_objects,object_auc,mean_A_survivors,mean_At_survivors,term_size_weight,term_within_object,term_erasure,n_eff,n_objects,n_survive,n_survive_no_At,orphan_weight,n_orphan_cells
HOLDOUT_ALL,holdout_pooled,f10,500,hand_neg,0.9434821159070328,0.9434821159070329,1.1102230246251565e-16,0.9434821159070328,0.8281873865834221,0.8757438722350569,0.8847453352719477,0.0677382436719759,-0.009001463036890756,0.056557948688525594,28.66917706655887,196,85,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f10,500,hand_acc_neg,0.938122547539994,0.938122547539994,0.0,0.938122547539994,0.8253427317645577,0.8698900823124073,0.8774427294293814,0.06823246522758675,-0.0075526471169741205,0.05209999766482365,28.66917706655887,196,85,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f10,500,L1,0.4195479927558104,0.41954799275581045,5.551115123125783e-17,0.4195479927558104,0.6878637966115688,0.5638502412749937,0.5717232230074373,-0.14430224851918333,-0.007872981732443551,-0.11614057360413155,28.66917706655887,196,85,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f10,500,z_sensitivity,0.7538560217325687,0.7538560217325686,1.1102230246251565e-16,0.7538560217325687,0.8110039940215127,0.7655739996879278,0.7838790903763705,-0.011717977955359116,-0.01830509068844266,-0.027124903645142195,28.66917706655887,196,85,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f10,500,rf_F1_wf,0.8365454271053426,0.8365454271053425,1.1102230246251565e-16,0.8365454271053425,0.8355765642251225,0.818205831737045,0.836533351328002,0.018339595368297545,-0.01832751959095702,0.0009567871028794972,28.66917706655887,196,85,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f10,500,logit_F1_wf,0.8450799879263506,0.8450799879263508,2.220446049250313e-16,0.8450799879263509,0.8372539874453677,0.8312826631897478,0.8457925216037423,0.013797324736603112,-0.014509858413994547,0.008538534158374578,28.66917706655887,196,85,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f25,500,slope_neg,0.9521274146386389,0.9521274146386388,1.1102230246251565e-16,0.952127414638639,0.8067082091179186,0.8835489412459657,0.8761275592511908,0.06857847339267331,0.007421381994774934,0.06941935013327216,20.480383176133614,196,57,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f25,500,relelev_neg,0.4845163815531969,0.4845163815531969,0.0,0.4845163815531969,0.6385405063945998,0.6483115820819213,0.6311462048561683,-0.16379520052872443,0.017165377225752954,-0.007394301538431458,20.480383176133614,196,57,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f25,500,twi,0.9602433633412382,0.9602433633412382,0.0,0.9602433633412382,0.8369153947885001,0.919238058016441,0.909328740511398,0.04100530532479718,0.00990931750504298,0.07241334572289793,20.480383176133614,196,57,0.0,0.0,0.0
HOLDOUT_ALL,holdout_pooled,f25,500,impervious,0.4559004673865494,0.45590046738654944,5.551115123125783e-17,0.4559004673865494,0.7076960719271852,0.5205149080286247,0.528703548212823,-0.06461444064207528,-0.008188640184198293,-0.17899252371436225,20.480383176133614,196,57,0.0,0.0,0.0
