test_event,role,rule,size_m,score,metric,value,n_units,run_id
2006,development,center,100,L1,capture_0.2,0.0,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,L1,object_auc,0.36931948820801597,19,m4_20260926T164939Z_390f3fc
2006,development,center,100,z_sensitivity,cell_auc,0.7549762744723115,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,z_sensitivity,cell_auc_sklearn,0.7549762744723115,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,z_sensitivity,capture_0.2,0.33766233766233766,77,m4_20260926T164939Z_390f3fc
2006,development,center,100,z_sensitivity,object_auc,0.7339420037034096,19,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,slope_neg,cell_auc,0.880286039402274,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,slope_neg,cell_auc_sklearn,0.880286039402274,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,slope_neg,capture_0.2,0.7777777777777778,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,slope_neg,object_auc,0.8851852285358418,19,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,relelev_neg,cell_auc,0.4964993116541232,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,relelev_neg,cell_auc_sklearn,0.49649931165412314,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,relelev_neg,capture_0.2,0.0,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,relelev_neg,object_auc,0.496765423322278,19,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,twi,cell_auc,0.850634840619187,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,twi,cell_auc_sklearn,0.850634840619187,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,twi,capture_0.2,0.7222222222222222,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,twi,object_auc,0.8422664708504762,19,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,impervious,cell_auc,0.4831849041474681,18,m4_20260926T164939Z_390f3fc
2006,development,rep_point,100,impervious,cell_auc_sklearn,0.4831849041474681,18,m4_20260926T164939Z_390f3fc
