verdict,rule,size_m,config_class,other,diff_ref,diff,material_reversal
V1,center,500,both,twi,-0.4549179144959405,-0.5577852516193323,False
V1,center,500,both,impervious,0.007884360784997269,-0.09777964623816637,False
V1,center,500,both,hand_neg,-0.48604053865047775,-0.5636522172396611,False
V1,center,500,both,hand_acc_neg,-0.4848484151615086,-0.5593236173393125,False
V1,center,500,both,z_sensitivity,-0.2991048182339064,-0.36416915794718485,False
V1,center,500,both,rf_F1_wf,-0.4075544816095638,-0.4450548081714001,False
V1,center,500,both,logit_F1_wf,-0.41059158473372864,-0.4587693074240159,False
V2,center,500,both,slope_neg,-0.08062375096546393,-0.17801911614670018,False
V2,center,500,both,relelev_neg,0.24240681919101803,0.17469635020512975,False
V2,center,500,both,twi,-0.04935528729476246,-0.19189160729191868,False
V2,center,500,both,impervious,-0.016811175287431368,-0.14564171799848125,False
V2,center,500,both,hand_neg,-0.07073425056127736,-0.1907109697476449,False
V2,center,500,both,hand_acc_neg,-0.08632337686517555,-0.17919975369097418,False
V2,center,500,both,z_sensitivity,-0.082863846552516,-0.14602143279048185,False
V2,center,500,both,rf_F1_wf,-0.06348447564061732,-0.12741540798244877,False
V2,center,500,both,logit_F1_wf,-0.05483917335882804,-0.13004489928234886,False
V1,center,1000,both,slope_neg,-0.48602921064533106,-0.6233178516136715,False
V1,center,1000,both,relelev_neg,-0.02658659385314549,-0.194831487435989,False
V1,center,1000,both,twi,-0.4549179144959405,-0.6253423841848279,False
V1,center,1000,both,impervious,0.007884360784997269,-0.1359414076455877,False
V1,center,1000,both,hand_neg,-0.48604053865047775,-0.638204120519233,False
V1,center,1000,both,hand_acc_neg,-0.4848484151615086,-0.6282005478146957,False
V1,center,1000,both,z_sensitivity,-0.2991048182339064,-0.44253900202453256,False
V1,center,1000,both,rf_F1_wf,-0.4075544816095638,-0.49720138144575443,False
V1,center,1000,both,logit_F1_wf,-0.41059158473372864,-0.509944027628915,False
V2,center,1000,both,slope_neg,-0.08062375096546393,-0.6233178516136715,False
V2,center,1000,both,relelev_neg,0.24240681919101803,-0.194831487435989,True
V2,center,1000,both,twi,-0.04935528729476246,-0.6253423841848279,False
V2,center,1000,both,impervious,-0.016811175287431368,-0.1359414076455877,False
