rule,size_m,score,metric,role_group,median,n_events
any,500,slope_neg,object_auc,development,0.8191444641206052,6
any,500,slope_neg,object_auc,holdout,0.8049597088346878,4
any,500,twi,capture_0.2,all,0.6339285714285714,10
any,500,twi,capture_0.2,development,0.6547619047619048,6
any,500,twi,capture_0.2,holdout,0.5125,4
any,500,twi,cell_auc,all,0.8247400104699507,10
any,500,twi,cell_auc,development,0.830314919040013,6
any,500,twi,cell_auc,holdout,0.7977515350903963,4
any,500,twi,object_auc,all,0.8222454790757792,10
any,500,twi,object_auc,development,0.8452654662488508,6
any,500,twi,object_auc,holdout,0.8222454790757792,4
any,500,z_sensitivity,capture_0.2,all,0.5448717948717949,10
any,500,z_sensitivity,capture_0.2,development,0.5448717948717949,6
any,500,z_sensitivity,capture_0.2,holdout,0.55,4
any,500,z_sensitivity,cell_auc,all,0.7963191794113291,10
any,500,z_sensitivity,cell_auc,development,0.7714155645526879,6
any,500,z_sensitivity,cell_auc,holdout,0.8255537253468783,4
any,500,z_sensitivity,object_auc,all,0.8389883331342396,10
any,500,z_sensitivity,object_auc,development,0.8130851215206933,6
any,500,z_sensitivity,object_auc,holdout,0.8436450277434807,4
any,1000,L1,capture_0.2,all,0.43253968253968256,10
any,1000,L1,capture_0.2,development,0.43253968253968256,6
any,1000,L1,capture_0.2,holdout,0.42662500000000003,4
any,1000,L1,cell_auc,all,0.710692797757662,10
any,1000,L1,cell_auc,development,0.7206117715075369,6
any,1000,L1,cell_auc,holdout,0.710692797757662,4
any,1000,L1,object_auc,all,0.74601210364904,10
any,1000,L1,object_auc,development,0.7496994759172139,6
any,1000,L1,object_auc,holdout,0.7346118027188042,4
any,1000,hand_acc_neg,capture_0.2,all,0.5499166666666666,10
any,1000,hand_acc_neg,capture_0.2,development,0.5961538461538461,6
any,1000,hand_acc_neg,capture_0.2,holdout,0.48741666666666666,4
any,1000,hand_acc_neg,cell_auc,all,0.7555845362626848,10
any,1000,hand_acc_neg,cell_auc,development,0.7555845362626848,6
any,1000,hand_acc_neg,cell_auc,holdout,0.747961956049815,4
any,1000,hand_acc_neg,object_auc,all,0.8154902724434083,10
any,1000,hand_acc_neg,object_auc,development,0.8288872513328154,6
any,1000,hand_acc_neg,object_auc,holdout,0.798673062814037,4
any,1000,hand_neg,capture_0.2,all,0.4946428571428571,10
any,1000,hand_neg,capture_0.2,development,0.5366300366300366,6
any,1000,hand_neg,capture_0.2,holdout,0.49166666666666664,4
any,1000,hand_neg,cell_auc,all,0.7396475432333882,10
any,1000,hand_neg,cell_auc,development,0.7396475432333882,6
any,1000,hand_neg,cell_auc,holdout,0.7612815012217551,4
any,1000,hand_neg,object_auc,all,0.8054795194330409,10
any,1000,hand_neg,object_auc,development,0.8062593312424349,6
any,1000,hand_neg,object_auc,holdout,0.8054795194330409,4
any,1000,impervious,capture_0.2,all,0.6154761904761905,10
any,1000,impervious,capture_0.2,development,0.37936507936507935,6
any,1000,impervious,capture_0.2,holdout,0.775,4
any,1000,impervious,cell_auc,all,0.8315499904121311,10
any,1000,impervious,cell_auc,development,0.7883645866137723,6
any,1000,impervious,cell_auc,holdout,0.8660817389545659,4
any,1000,impervious,object_auc,all,0.8439728407101255,10
any,1000,impervious,object_auc,development,0.8215865010661821,6
any,1000,impervious,object_auc,holdout,0.8896648726653102,4
any,1000,logit_F1_wf,capture_0.2,all,0.5384615384615384,9
any,1000,logit_F1_wf,capture_0.2,development,0.5384615384615384,5
any,1000,logit_F1_wf,capture_0.2,holdout,0.5566666666666666,4
any,1000,logit_F1_wf,cell_auc,all,0.7965554359526372,9
any,1000,logit_F1_wf,cell_auc,development,0.7965554359526372,5
any,1000,logit_F1_wf,cell_auc,holdout,0.7966380177024395,4
any,1000,logit_F1_wf,object_auc,all,0.8695852251737768,9
any,1000,logit_F1_wf,object_auc,development,0.8854683260582861,5
any,1000,logit_F1_wf,object_auc,holdout,0.8554151806802736,4
any,1000,relelev_neg,capture_0.2,all,0.13392857142857142,10
any,1000,relelev_neg,capture_0.2,development,0.10989010989010989,6
any,1000,relelev_neg,capture_0.2,holdout,0.1625,4
any,1000,relelev_neg,cell_auc,all,0.6067933041881226,10
any,1000,relelev_neg,cell_auc,development,0.581520616644259,6
any,1000,relelev_neg,cell_auc,holdout,0.6728945658955298,4
any,1000,relelev_neg,object_auc,all,0.6393743875372178,10
any,1000,relelev_neg,object_auc,development,0.6260987483021905,6
any,1000,relelev_neg,object_auc,holdout,0.6798540913183498,4
any,1000,rf_F1_wf,capture_0.2,all,0.6,9
any,1000,rf_F1_wf,capture_0.2,development,0.5515384615384615,5
any,1000,rf_F1_wf,capture_0.2,holdout,0.6125,4
any,1000,rf_F1_wf,cell_auc,all,0.8115261472785485,9
any,1000,rf_F1_wf,cell_auc,development,0.8319118986503271,5
any,1000,rf_F1_wf,cell_auc,holdout,0.8073289194636855,4
any,1000,rf_F1_wf,object_auc,all,0.8846796074465733,9
any,1000,rf_F1_wf,object_auc,development,0.8990511262400366,5
any,1000,rf_F1_wf,object_auc,holdout,0.8767107505455953,4
any,1000,slope_neg,capture_0.2,all,0.5958333333333333,10
any,1000,slope_neg,capture_0.2,development,0.5,6
any,1000,slope_neg,capture_0.2,holdout,0.5958333333333333,4
any,1000,slope_neg,cell_auc,all,0.7748844988484387,10
any,1000,slope_neg,cell_auc,development,0.7748844988484387,6
any,1000,slope_neg,cell_auc,holdout,0.7758873896990506,4
any,1000,slope_neg,object_auc,all,0.8454535035579034,10
any,1000,slope_neg,object_auc,development,0.8477131133940226,6
any,1000,slope_neg,object_auc,holdout,0.8058212935602643,4
any,1000,twi,capture_0.2,all,0.5333333333333333,10
any,1000,twi,capture_0.2,development,0.5576923076923077,6
any,1000,twi,capture_0.2,holdout,0.4708333333333333,4
any,1000,twi,cell_auc,all,0.806818844421173,10
any,1000,twi,cell_auc,development,0.8026599765700949,6
any,1000,twi,cell_auc,holdout,0.806818844421173,4
any,1000,twi,object_auc,all,0.8682463814797345,10
any,1000,twi,object_auc,development,0.8778607344916067,6
any,1000,twi,object_auc,holdout,0.8374329604116375,4
any,1000,z_sensitivity,capture_0.2,all,0.5380952380952381,10
any,1000,z_sensitivity,capture_0.2,development,0.39194139194139194,6
any,1000,z_sensitivity,capture_0.2,holdout,0.6125,4
any,1000,z_sensitivity,cell_auc,all,0.7926576168221865,10
any,1000,z_sensitivity,cell_auc,development,0.7661637787144882,6
any,1000,z_sensitivity,cell_auc,holdout,0.8298983869198476,4
any,1000,z_sensitivity,object_auc,all,0.8565361917642749,10
any,1000,z_sensitivity,object_auc,development,0.837738518103887,6
any,1000,z_sensitivity,object_auc,holdout,0.8817733533268257,4
center,100,L1,capture_0.2,all,0.4567901234567901,7
center,100,L1,capture_0.2,development,0.5155572238905572,6
center,100,L1,capture_0.2,holdout,0.03948772678762007,1
center,100,L1,cell_auc,all,0.7899762639204214,7
center,100,L1,cell_auc,development,0.7922864977394806,6
center,100,L1,cell_auc,holdout,0.3986979501799229,1
center,100,L1,object_auc,all,0.8025215799183868,9
center,100,L1,object_auc,development,0.7952064623921147,6
center,100,L1,object_auc,holdout,0.8025215799183868,3
center,100,hand_acc_neg,capture_0.2,all,0.9626467449306296,7
center,100,hand_acc_neg,capture_0.2,development,0.9523273273273274,6
center,100,hand_acc_neg,capture_0.2,holdout,0.9626467449306296,1
